,sentence,author,title,pet
0,"in the late 1960's, the army used to solicit funds from congress for its proposed mbt-70 tank (later canceled) by pointing to the awesome threat of the then novel soviet t-62",ac,the-russians-coming-in-a-nonexistent-tank,late
1,"the t-64 and t-72 tanks, revealed to western eyes only in the late 1970's, did yeoman service in the cause of the american m-1 tank, which was especially welcome to the lobby in view of the m-1's painful history of cost overruns and technical problems",ac,the-russians-coming-in-a-nonexistent-tank,late
2,"on the other hand, it did look very much like the american m-1 tank - implying that the soviet union had given that troubled vehicle its seal of approval by imitating the design",ac,the-russians-coming-in-a-nonexistent-tank,troubled
3,"he admitted that united states intelligence had never seen a t-80, nor did it have a picture of one",ac,the-russians-coming-in-a-nonexistent-tank,did it
4,"* since january, thousands of east germans have signed an outspoken petition, the berlin appeal, which calls for the removal of all nuclear weapons and all american and soviet ''occupation'' troops from both germanys",ah,east-gemrman-dissent,outspoken
5,"a similar meeting of about 3,000 took place at an east berlin church in late june",ah,east-gemrman-dissent,late
6,elderly women constitute the majority of social security recipients,ah,what-gender-gap,elderly
7,"and since women rarely have seniority in the labor market, they are often the first laid off",ah,what-gender-gap,laid off
8,the international committee of the red cross was allowed for the first time to visit a detention camp for timorese suspected of political unreliability,al,abroad-at-home-a-small-far-off-place,detention camp
9,"hiatt also mentions cuts in money for venereal disease, lead-poisoning prevention and other programs",al,abroad-at-home-hazardous-to-health,venereal disease
10,"israelis and arabs should listen to him now, and act before it is too late",al,abroad-at-home-kissinger-on-the-mideast,late
11,"peterson shows that almost 30 percent of the benefits go to the richest 20 percent of the elderly, those with a family income of $30,000 a year or more",al,abroad-at-home-social-security-alarm,elderly
12,last week a report based on statements by 70 former detainees showed that dr,al,abroad-at-home-the-beam-and-the-mote,detainees
13,it said many of these detainees were given electric shocks and kept naked during interrogation,al,abroad-at-home-the-beam-and-the-mote,detainees
14,he was charged with the rape and murder of an elderly white woman,al,abroad-at-home-unusual-and-cruel,elderly
15,"judge rose was an advocate of the death sentence who indicated his feelings, when the supreme court held existing capital punishment laws unconstitutional in 1972, by throwing a hangman's noose over the limb of an oak tree in front of his courthouse",al,abroad-at-home-unusual-and-cruel,capital punishment
16,"capital punishment disfigures the process of criminal justice, subjecting it to distorting pressures and making all those involved less human",al,abroad-at-home-unusual-and-cruel,capital punishment
17,"by then, moreover, mental problems that had troubled her for years were obvious",al,abroad-at-home-where-are-they-now,troubled
18,"whether the late primate, stefan cardinal wyszynski, would have acted differently from his successor, archbishop jozef glemp, is a moot point",bab,"BLEAK,-BLEAK-POLAND",late
19,"when interest rates were low, lenders allowed borrowers to pass on their mortgages to subsequent purchasers of their houses at the same rates they had negotiated",babm,n-w-fed-ral-sm-holes,pass on
20,he did it at the old folks' home two years in a row,bac,santas-ride,did it
21,"'' almost threw him, for it was his understanding that santa claus was a benefactor dropped from the skies who was practically honor-bound not to get mixed up with the female of the species",bac,santas-ride,mixed up
22,when zebby adams left the restaurant it was very late and he was not himself,bac,santas-ride,late
23,"in fact, tasteful television ads for contraceptives would provide a sober contrast to the overt suggestiveness of advertisements for designer jeans",bafm,video-contraception,sober
24,"in an address in the nation's heartland before an aging demographic group, a cooly received president raised a call royale for a return to the old new ideas that reaffirm the eternal verities upon which this young democracy - 200 years ago a fledgling republic - was weaned",bah,the-time-is-today,aging
25,brezhnev's remarks cannot be dismissed as merely another dramatic flourish of anti-american propaganda,bamc,wrong-direction-in-nuclear-strategy,dismissed
26,"the american way to avoid the despicable adjective ''old,'' for example, is to designate people over 55 as ''senior citizens",barz,old-is-old-is-old-face-it-squarely-avoid-delusions,senior citizens
27,evidence of aging is inescapable,barz,old-is-old-is-old-face-it-squarely-avoid-delusions,aging
28,'' brazil boasts of one of the world's largest and most progressive roman catholic episcopates; perhaps the best press and best academic establishments in any developing country; an independent and inquiring bar association; and many thoughtful entrepreneurs who feel that they can best advance their interests in an open political system,bas,sharing-brazils-economic-woe,developing country
29,the result is to impose additional hardships on those elderly already living at the edge of poverty while scarcely affecting upper-income retirees,bb,for-taxes-on-benefits,elderly
30,"admittedly, such savings would hardly resolve the social security crisis, but they would target benefits and diminish the pain inflicted on low-income recipients by alternate cost-control measures such as across-the-board reductions in benefits",bb,for-taxes-on-benefits,low-income
