sentence,author,title,pet
"if she winds up as her party's default nominee if biden pulls out late, democrats will have every reason to panic",bs,biden-age-election-2024,late
""" some readers may be inclined to dismiss this as merely an indictment of a troubled son",bs,biden-ethics-son,troubled
the less fortunate -- your constituency and much of the democratic base -- depend on regular paychecks to pay the rent,bs,biden-infrastructure-congress,less fortunate
"because of the delta variant's vigorous attack on even the relatively small number of unvaccinated vermonters, the state has experienced one of the biggest recent covid surges, with hospitalizations up by 24 percent in the past two weeks",bs,coronavirus-polarization,experienced
"the florida governor did, in fact, do well in the early months of the crisis, when he focused state resources on protecting the elderly, only to later preside over a gigantic spike in cases",bs,coronavirus-polarization,elderly
"at brooklyn tech, powell describes a ""river of teenagers"" who are ""bengali and tibetan, egyptian and chinese, sinhalese and russian, dominican and puerto rican, west indian and african american",bs,diversity-public-schools,african american
""" of these, nearly two-thirds come from economically disadvantaged backgrounds, and many don't speak english at home",bs,diversity-public-schools,disadvantaged
it shouldn't be too late to reclaim these understandings again,bs,diversity-public-schools,late
"in san francisco and los angeles, to homeless encampments and addicts",bs,eric-adams-nyc-mayor,addicts
"like an addict who can't endure the agony of withdrawal, we could soon arrive at a moment when we will not be able to accept the price of taming inflation, and instead we'll be tempted to inflate our way out of our debts",bs,inflation-federal-reserve,addict
"in the bronx last wednesday, legacy beauford, a 1-year-old boy, was sexually assaulted and killed",bs,legacy-beauford-black-lives-matter,sexually assaulted
"in the brooklyn neighborhood of east new york last month, wayne washington, 25, was killed after being shot multiple times in the chest, and a 19-year-old woman sustained a bullet injury in her torso",bs,legacy-beauford-black-lives-matter,chest
"local shops are closing, neighborhoods are decaying, encampments of drug addicts have proliferated, and streets are befouled by human excrement -- a set of failures michael shellenberger calls in his thoroughly researched and convincing new book, ""san fransicko: why progressives ruin cities,"" ""the breakdown of civilization on america's west coast",bs,liberals-survive-progressivism,addicts
"a typical example: the american medical association recently published its ""guide to language, narrative and concepts,"" which includes such recommendations as replacing the term ""disadvantaged"" with ""historically and intentionally excluded,"" ""social problem"" with ""social injustice,"" ""vulnerable"" with ""oppressed,"" and ""blacklist"" and ""blackmail"" with words that don't suggest an association between the word ""black"" and ""suspicion or disapproval",bs,social-justice-america,disadvantaged
"if you haven't followed the drip-drip-drip of revelations, late in 2019 michael e",bs,steele-dossier-fbi-trump,late
"a world in which several combustible regions each have multiple nuclear powers in varying configurations of alliance and hostility is a recipe for miscalculation, accident and tragedy",bs,ukraine-war-biden,accident
"in july, the president dismissed price increases as ""expected, and expected to be temporary",bs,us-military-russia-china-iran,dismissed
"what he doesn't mention is that his admiration for the unflinching high-mindedness of a heschel or an aquinas somehow didn't stop him from becoming a late but enthusiastic convert to the cult of donald trump -- that is, of the hedonistic bully",bs,what-should-conservatives-conserve,late
"he appealed on the grounds that the indictment was invalid: the jury had been drawn from a pool of registered voters, which, because the state constitution had disenfranchised most black voters by the time of his trial, was almost entirely white, and williams argued that this was a violation of his 14th amendment rights",cb,abortion-mississippi-constitutional-rights,invalid
""" as lawrence goldstone wrote last year in his book ""on account of race: the supreme court, white supremacy, and the ravaging of african american voting rights"": and just like that, the supreme court of the united states greenlit and rubber-stamped jim crow, formalizing in law a framework under which black progress could be rolled back for decades",cb,abortion-mississippi-constitutional-rights,african american
") in the late 1800s, opponents of progress had exercised a methodical, decades-long campaign to subjugate and oppress black people",cb,abortion-mississippi-constitutional-rights,late
"her house was old and teetering, in need of painting, surrounded on three sides by an unkept yard of chest-high weeds",cb,advocacy-poverty-journalism,chest
"i had not gone to fancy prep schools or ivy league colleges, but a small high school that had served black students since the late 1800s and to a historically black college, grambling state university, the closest university to my hometown",cb,advocacy-poverty-journalism,late
"it doesn't matter whether or not the person that is accosting your son or daughter or my son or daughter -- my wife, your husband, my mother, your parents -- it doesn't matter whether or not they were deprived as a youth",cb,america-police-reform,deprived
"the question now is whether, at the 11th hour, his foray into the battle will prove to be too little too late",cb,biden-filibuster-voting-rights,late
"the real villains here are the republicans restricting ballot access and reducing the voting power of people, mostly people of color, at the state level, and the republicans in congress refusing to stop them",cb,biden-filibuster-voting-rights,people of color
